	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200007	882.93	Working	3.0	0.424485	0.30993225925925927	1.0051221870311717	0.8662696719378652	0.985565	0.5451066666666666	4.39972	0.322345	0.9685766389799859	0.691611	578.0	34.0	0.5269625588838927	0.46617056386164685	#ffef00	5.20004	0.318832	0.9058721314300486	0.547281	577.5	34.0	0.5257144133525201	0.46954590519686984	#fff400
1	A2-1	0.0200005	930.84	Working	2.8	0.423309	0.32088260714285716	1.1686689836103663	0.9659005498274817	1.30855	0.6344034999999998	4.19977	0.383499	1.0975084551051817	0.820977	578.0	34.0	0.5268057976173812	0.4685844022150476	#fff200	5.2	0.34889	0.9924374854639166	0.599583	577.5	34.0	0.5241389583419692	0.4704410656357308	#fff700
2	A3-1	0.0196524	1004.86	Working	3.0	0.501863	0.36498174074074075	1.3614758185142097	1.0733774656022175	1.42583	0.687738148148148	4.19975	0.432778	1.2192258280735073	0.912032	578.0	32.5	0.5245145087515728	0.46917911183202926	#fff500	5.19996	0.387102	1.1069984780747646	0.6688	577.5	33.5	0.521928946044241	0.4708685692692157	#fffa00
3	A4-1	0.0200007	1055.7	Working	3.0	0.522134	0.3818790714285714	1.4337051941170573	1.1140419453846455	1.50144	0.7047581428571428	4.19975	0.441066	1.2961521484273029	0.969573	577.0	33.5	0.5271995838033111	0.46756287587206435	#fff000	5.20011	0.405016	1.1621094326106651	0.702075	577.5	33.0	0.5219551735120191	0.4717416371850523	#fffb00
4	B1-1	0.0200008	878.66	Working	3.0	0.437614	0.32123835999999995	1.165139195035434	0.9158893574093929	1.14379	0.60107152	4.20015	0.363264	1.037751494608085	0.776207	577.5	32.5	0.5349280225356252	0.46883296733447927	#ffeb00	5.20036	0.324048	0.9346082599345621	0.564608	577.5	33.5	0.5278441046795781	0.4685792693377166	#fff100
5	B2-1	0.0200004	892.09	Working	3.0	0.525452	0.3314498846153846	1.0964090636570971	0.9126523560655582	1.05071	0.5858883461538462	4.39985	0.371696	1.0369434295914453	0.740401	577.5	33.5	0.5283394105047985	0.4642170202056199	#ffeb00	5.40014	0.328617	0.9302815821332888	0.541202	577.5	34.0	0.5266786541214867	0.4692218853747891	#fff300
6	B3-1	0.0199961	892.4	Working	3.0	0.938975	0.36732261538461536	1.2463048538568267	0.9393868299561541	1.30515	0.6093534230769231	4.40003	0.376035	1.041811973263586	0.743846	577.0	34.0	0.5249879862753885	0.467235619867237	#fff200	5.40011	0.334307	0.9436914952634424	0.549007	577.5	34.0	0.5247459262430881	0.46987167670707464	#fff600
7	B4-1	0.0200004	961.17	Working	3.0	0.802996	0.37896274074074077	1.2605379257024156	1.004066515723633	1.23754	0.640584111111111	4.39981	0.410764	1.130026127481634	0.806872	577.5	32.0	0.5259013208581789	0.4646561185466075	#ffee00	5.40014	0.35481	1.01762214607477	0.592012	577.5	33.5	0.5237756975326691	0.4682039622736588	#fff400
8	B5-1	0.0200005	976.84	Working	3.0	0.473315	0.34714724999999996	1.3415622258270692	1.0393184838491722	1.36837	0.6575940357142857	4.39972	0.416243	1.1571821995727487	0.826282	577.5	33.5	0.530571619352428	0.47085018224583447	#fff100	5.40006	0.37194	1.0659221488383566	0.620122	577.5	33.0	0.523727386755833	0.470290433641881	#fff700
9	C1-1	0.0200012	547.33	Working	3.2	0.373125	0.21173379310344825	0.7130156199702623	0.5643101183892816	0.649803	0.33550827586206894	5.00055	0.224135	0.6196641777364993	0.389305	578.0	32.5	0.5329226877221177	0.4632450706826256	#ffe500	6.60057	0.191263	0.5313817731802002	0.252915	578.0	33.5	0.5290262913829464	0.4649500820091021	#ffeb00
