	Pixel	NPB	AlQ3	LiQ	Al
0	A1	450.546375	559.0820116704871	11.214712665847665	965.1377710983871
1	A2	448.90876032110094	569.7760231318051	11.112255663390663	953.6548356145161
2	A3	447.2711456422019	580.4700345931232	11.00979866093366	942.1719001306451
3	A4	445.6335309633028	591.1640460544412	10.907341658476659	930.6889646467741
4	A5	443.9959162844037	601.8580575157592	10.804884656019656	919.2060291629032
5	B1	485.243622706422	572.0026506389685	10.597218808353807	832.2970872274193
6	B2	483.606008027523	582.6966621002864	10.494761805896804	820.8141517435483
7	B3	481.9683933486239	593.3906735616046	10.392304803439801	809.3312162596774
8	B4	480.33077866972474	604.0846850229226	10.2898478009828	797.8482807758064
9	B5	478.6931639908257	614.7786964842406	10.187390798525797	786.3653452919355
10	C1	528.4729805045872	588.1004959111748	9.827882199017198	666.7906614209677
11	C2	526.8353658256881	598.7945073724928	9.725425196560197	655.3077259370967
12	C3	525.197751146789	609.4885188338109	9.622968194103194	643.8247904532258
13	C4	523.56013646789	620.1825302951289	9.520511191646191	632.3418549693549
14	C5	521.9225217889908	630.876541756447	9.418054189189188	620.8589194854839
15	D1	563.1702282110092	601.0211348796561	9.210388341523341	533.9499775500001
16	D2	561.5326135321101	611.7151463409741	9.107931339066338	522.467042066129
17	D3	559.8949988532111	622.4091578022923	9.005474336609335	510.98410658225805
18	D4	558.2573841743119	633.1031692636103	8.903017334152333	499.50117109838715
19	D5	556.6197694954128	643.7971807249284	8.80056033169533	488.01823561451613
