	Timestamp	Filtered Rate: Cl-BsubPc_BB	Source Power: Cl-BsubPc_BB	Thickness: Cl-BsubPc_BB	State: Cl-BsubPc_BB	Fundamental  Frequency: Cl-BsubPc_BB	Current Z-Ratio: Cl-BsubPc_BB
0	11:54:08	-0.000	0.000	-0.000	Ready	5903968.932	2.090
1	11:54:08	-0.000	0.000	-0.000	Ready	5903968.932	2.090
2	11:54:09	-0.000	0.320	-0.000	PreCon Rise	5903968.932	2.090
3	11:54:10	-0.000	0.720	-0.000	PreCon Rise	5903968.932	2.090
4	11:54:11	0.000	1.120	-0.000	PreCon Rise	5903968.932	2.090
5	11:54:12	-0.000	1.520	-0.000	PreCon Rise	5903968.932	2.090
6	11:54:13	-0.000	1.920	-0.000	PreCon Rise	5903968.932	2.090
7	11:54:14	-0.000	2.320	-0.000	PreCon Rise	5903968.932	2.090
8	11:54:15	-0.001	2.720	-0.000	PreCon Rise	5903968.936	2.090
9	11:54:16	0.001	3.120	-0.000	PreCon Rise	5903968.932	2.090
10	11:54:17	0.000	3.520	-0.000	PreCon Rise	5903968.932	2.090
11	11:54:18	0.000	3.920	-0.000	PreCon Rise	5903968.932	2.090
12	11:54:19	-0.000	4.320	-0.000	PreCon Rise	5903968.932	2.090
13	11:54:20	-0.001	4.720	-0.000	PreCon Rise	5903968.936	2.090
14	11:54:21	0.000	5.120	-0.000	PreCon Rise	5903968.936	2.090
15	11:54:22	-0.000	5.520	-0.000	PreCon Rise	5903968.936	2.090
16	11:54:23	-0.001	5.920	-0.000	PreCon Rise	5903968.939	2.090
17	11:54:24	0.000	6.320	-0.000	PreCon Rise	5903968.939	2.090
18	11:54:25	0.000	6.720	-0.000	PreCon Rise	5903968.939	2.090
19	11:54:26	0.000	7.120	-0.000	PreCon Rise	5903968.939	2.090
20	11:54:27	0.001	7.520	-0.000	PreCon Rise	5903968.936	2.090
21	11:54:28	0.000	7.920	-0.000	PreCon Rise	5903968.936	2.090
22	11:54:29	-0.001	8.320	-0.000	PreCon Rise	5903968.939	2.090
23	11:54:30	-0.000	8.720	-0.000	PreCon Rise	5903968.939	2.090
24	11:54:31	-0.000	9.120	-0.000	PreCon Rise	5903968.939	2.090
25	11:54:32	0.000	9.520	-0.000	PreCon Rise	5903968.939	2.090
26	11:54:33	0.000	9.920	-0.000	PreCon Rise	5903968.939	2.090
27	11:54:34	0.000	10.320	-0.000	PreCon Rise	5903968.939	2.090
28	11:54:35	-0.001	10.720	-0.000	PreCon Rise	5903968.943	2.090
29	11:54:36	-0.000	11.120	-0.000	PreCon Rise	5903968.943	2.090
30	11:54:37	0.001	11.520	-0.000	PreCon Rise	5903968.939	2.090
31	11:54:38	-0.001	11.920	-0.000	PreCon Rise	5903968.943	2.090
32	11:54:39	0.001	12.000	-0.000	PreCon Soak	5903968.939	2.090
33	11:54:40	0.000	12.000	-0.000	PreCon Soak	5903968.939	2.090
34	11:54:41	-0.001	12.000	-0.000	PreCon Soak	5903968.943	2.090
35	11:54:42	0.001	12.000	-0.000	PreCon Soak	5903968.939	2.090
36	11:54:43	-0.001	12.000	-0.000	PreCon Soak	5903968.943	2.090
37	11:54:44	0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
38	11:54:45	-0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
39	11:54:46	-0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
40	11:54:47	-0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
41	11:54:48	0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
42	11:54:49	0.001	12.000	-0.000	PreCon Soak	5903968.939	2.090
43	11:54:50	-0.001	12.000	-0.000	PreCon Soak	5903968.943	2.090
44	11:54:51	0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
45	11:54:52	0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
46	11:54:53	0.000	12.000	-0.000	PreCon Soak	5903968.943	2.090
