	Timestamp	Filtered Rate: HATCN	Source Power: HATCN	Thickness: HATCN	State: HATCN	Fundamental  Frequency: HATCN	Current Z-Ratio: HATCN
0	16:14:02	-0.000	0.248	-0.021	PreCon Rise	5971176.729	8.172
1	16:14:03	-0.000	0.330	-0.021	PreCon Rise	5971176.733	8.172
2	16:14:04	-0.000	0.422	-0.021	PreCon Rise	5971176.736	8.172
3	16:14:05	-0.001	0.513	-0.021	PreCon Rise	5971176.740	8.172
4	16:14:06	-0.000	0.605	-0.021	PreCon Rise	5971176.740	8.172
5	16:14:07	-0.000	0.697	-0.021	PreCon Rise	5971176.743	8.172
6	16:14:08	-0.000	0.788	-0.021	PreCon Rise	5971176.747	8.172
7	16:14:09	-0.000	0.880	-0.021	PreCon Rise	5971176.750	8.172
8	16:14:10	-0.000	0.972	-0.021	PreCon Rise	5971176.754	8.172
9	16:14:11	-0.000	1.063	-0.021	PreCon Rise	5971176.757	8.172
10	16:14:12	-0.000	1.155	-0.021	PreCon Rise	5971176.761	8.172
11	16:14:13	-0.000	1.247	-0.021	PreCon Rise	5971176.764	8.172
12	16:14:14	-0.000	1.338	-0.021	PreCon Rise	5971176.767	8.172
13	16:14:15	-0.000	1.430	-0.021	PreCon Rise	5971176.767	8.172
14	16:14:16	-0.000	1.522	-0.021	PreCon Rise	5971176.774	8.172
15	16:14:17	-0.000	1.613	-0.021	PreCon Rise	5971176.778	8.172
16	16:14:18	-0.000	1.705	-0.021	PreCon Rise	5971176.781	8.172
17	16:14:19	-0.000	1.797	-0.021	PreCon Rise	5971176.781	8.172
18	16:14:20	-0.000	1.888	-0.021	PreCon Rise	5971176.788	8.172
19	16:14:21	-0.000	1.980	-0.021	PreCon Rise	5971176.792	8.172
20	16:14:22	-0.000	2.072	-0.021	PreCon Rise	5971176.795	8.172
21	16:14:23	-0.000	2.163	-0.021	PreCon Rise	5971176.795	8.172
22	16:14:24	-0.000	2.255	-0.021	PreCon Rise	5971176.802	8.172
23	16:14:25	-0.000	2.347	-0.021	PreCon Rise	5971176.806	8.172
24	16:14:26	-0.001	2.438	-0.021	PreCon Rise	5971176.813	8.172
25	16:14:27	-0.001	2.530	-0.021	PreCon Rise	5971176.816	8.172
26	16:14:28	-0.001	2.622	-0.021	PreCon Rise	5971176.820	8.172
27	16:14:29	-0.001	2.713	-0.021	PreCon Rise	5971176.823	8.172
28	16:14:30	-0.000	2.805	-0.021	PreCon Rise	5971176.823	8.172
29	16:14:31	-0.000	2.897	-0.021	PreCon Rise	5971176.830	8.172
30	16:14:32	-0.000	2.988	-0.021	PreCon Rise	5971176.834	8.172
31	16:14:33	-0.000	3.080	-0.021	PreCon Rise	5971176.837	8.172
32	16:14:34	-0.001	3.172	-0.021	PreCon Rise	5971176.841	8.172
33	16:14:35	-0.000	3.273	-0.021	PreCon Rise	5971176.844	8.172
