Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99970E-1	-9.28032E-7	-5.80020E-3	1.47974E+1	1.00336E+1	2.73191E-1
-7.99993E-1	-6.57862E-7	-4.11164E-3	-2.04660E+1	1.55512E+1	-2.14281E-1
-5.99969E-1	-4.21636E-7	-2.63523E-3	7.41487E+1	1.06450E+1	3.73164E-1
-3.99961E-1	-2.31571E-7	-1.44732E-3	1.74668E+2	9.34354E+1	3.21845E-1
-2.00010E-1	-8.65918E-8	-5.41199E-4	5.21807E+2	3.62552E+1	1.79791E-1
4.78506E-5	8.31187E-9	5.19492E-5	-4.95478E+6	3.25320E+3	-3.92049E-2
2.00037E-1	9.47894E-8	5.92434E-4	7.03268E+2	1.23261E+2	2.65290E-1
3.99980E-1	2.04100E-7	1.27563E-3	5.27102E+2	1.53115E+2	8.56063E-1
5.99973E-1	3.44418E-7	2.15261E-3	1.51779E+2	2.31314E+1	6.23962E-1
7.99981E-1	5.27312E-7	3.29570E-3	-3.11872E+1	1.68334E+1	-2.61730E-1
9.99981E-1	7.91450E-7	4.94656E-3	3.82074E+1	1.58153E+1	6.01580E-1
1.19999E+0	1.14029E-6	7.12681E-3	-1.13588E+1	2.33005E+1	-3.09213E-1
1.39999E+0	1.61241E-6	1.00776E-2	4.48350E+0	-1.56825E+0	2.01348E-1
1.60000E+0	1.98009E-6	1.23756E-2	-1.30068E+0	2.82485E+0	-8.19796E-2
1.79998E+0	2.86649E-6	1.79156E-2	2.77215E+0	1.14936E+1	2.84554E-1
1.99997E+0	4.13401E-6	2.58376E-2	4.38029E+0	2.57075E+0	7.20490E-1
2.20002E+0	5.68372E-6	3.55232E-2	-7.88992E-1	3.37949E+0	-1.96274E-1
2.39992E+0	7.76504E-6	4.85315E-2	5.97285E-1	1.06474E+0	2.21438E-1
2.59998E+0	1.07224E-5	6.70150E-2	1.25681E-1	2.14876E+0	6.97047E-2
2.79995E+0	1.62013E-5	1.01258E-1	1.54396E+0	-3.27722E-1	1.39337E+0
2.99988E+0	2.40067E-5	1.50042E-1	1.12890E+0	1.11576E+0	1.61742E+0
3.19993E+0	3.75734E-5	2.34834E-1	1.56790E+0	1.24880E+0	3.75032E+0
3.39983E+0	5.76631E-5	3.60394E-1	1.62133E+0	7.44770E-1	6.32350E+0
3.59983E+0	8.93614E-5	5.58509E-1	1.68837E+0	6.27999E-1	1.08051E+1
3.79979E+0	1.39843E-4	8.74019E-1	1.71291E+0	7.92638E-1	1.81078E+1
3.99978E+0	1.98893E-4	1.24308E+0	1.70207E+0	7.41626E-1	2.69379E+1
4.19977E+0	2.84621E-4	1.77888E+0	1.63483E+0	7.14089E-1	3.88773E+1
4.39972E+0	3.94676E-4	2.46673E+0	1.57268E+0	7.44821E-1	5.43296E+1
4.59969E+0	5.31543E-4	3.32214E+0	1.52143E+0	7.57767E-1	7.40031E+1
