	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200011	341.3	Working	3.6	0.156494	0.11052718066666668	0.28266714976088514	0.22862051830445793	0.134419	0.10904109999999999	6.80016	0.137337	0.27559040936936385	0.12732	583.5	32.0	0.5037663263487042	0.38060963487809035	#ff8501	8.60007	0.155599	0.2796232794011108	0.102146	583.5	32.5	0.4755579354395244	0.3571354941423916	#ff7b21
1	A2-1	0.0200004	382.05	Working	4.0	0.176407	0.1455907466666667	0.3288642771294102	0.28516589381356877	0.168315	0.13200746666666666	6.80015	0.162466	0.3255102984165846	0.150381	583.0	31.0	0.5054636047479216	0.3831980876194083	#ff8700	8.60001	0.171861	0.3144580298257088	0.114872	583.5	32.0	0.47637429939054454	0.3586401859008477	#ff7c20
2	A3-1	0.0200006	377.13	Working	3.6	0.165939	0.11307525375000001	0.30562246526283093	0.245296358196509	0.137477	0.113926103125	6.8001	0.136726	0.28994356554722917	0.133951	583.5	31.5	0.511731638982394	0.3926195966066984	#ff9200	8.59992	0.160344	0.30547687070694796	0.111592	583.5	32.0	0.4838525823415513	0.3673666693134649	#ff8216
3	A4-1	0.0197169	332.1	Working	3.8	0.147009	0.12080485483870969	0.2991007370569415	0.2685272243646647	0.168655	0.12968269354838713	7.00004	0.136506	0.2991007370569415	0.134236	583.5	30.5	0.5118643855671299	0.3908924130359286	#ff9000	9.00001	0.143897	0.27656756842044555	0.0965402	583.5	31.5	0.48284401013831946	0.3675556136412009	#ff8316
4	B1-1	0.0200008	303.41	Working	3.8	0.131956	0.10193647096296297	0.276433782706731	0.24742533364854488	0.157701	0.12631751851851852	6.80004	0.128615	0.2721374513588871	0.125727	583.0	31.5	0.5130522784414355	0.3871202950222562	#ff8a00	8.59997	0.131705	0.2499985691528431	0.0913249	583.5	33.0	0.4837388387224621	0.36421383360481735	#ff7e17
5	B2-1	0.0200008	278.73	Working	3.6	0.14443	0.107505725	0.22721330520796484	0.1923382470814732	0.111868	0.09769490714285711	6.9999	0.111421	0.21863335921518856	0.0981236	583.5	31.5	0.5146808236904394	0.39122419395971675	#ff8f00	8.79982	0.117666	0.22332611969159624	0.0797287	583.5	32.5	0.48812955617427445	0.3692882361837373	#ff8212
6	B3-1	0.0200008	0.56	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7	B4-1	0.0200006	261.56	Working	3.8	0.1137	0.09354028250000002	0.2621976102745415	0.22987364904993798	0.154878	0.11699585714285714	7.20003	0.112915	0.25156208643702505	0.109764	583.5	31.5	0.5197795825793264	0.39387759862176197	#ff9000	9.16908	0.104236	0.2092437042014655	0.0716931	583.5	32.5	0.4933277514089414	0.37540848032755225	#ff860b
8	B5-1	0.0200006	328.26	Working	4.0	0.139424	0.12313710000000001	0.2952970285709059	0.2635694758260002	0.167558	0.12697887	7.4	0.129439	0.2823518286121768	0.11987	583.5	30.5	0.5173738643299779	0.39741452444288705	#ff9600	9.19989	0.125532	0.2537772857919677	0.0866604	583.5	32.0	0.49513215246557735	0.3786553535865659	#ff8908
9	C1-1	0.0200007	247.81	Working	3.8	0.13492	0.104315621875	0.22962679223825916	0.20510062253347006	0.131448	0.0987715375	7.59987	0.108212	0.22357806683533094	0.0924217	584.0	32.0	0.5193053057552488	0.3917041764555854	#ff8d00	-	-	-	-	-	-	-	-	-
10	C2-1	0.0197305	245.73	Working	3.8	0.105761	0.089656121875	0.24691588199351372	0.21650529137829683	0.143669	0.10499050625	7.60001	0.103549	0.2391096326805277	0.0988403	584.0	32.0	0.5245443103487446	0.3956314233638581	#ff9000	-	-	-	-	-	-	-	-	-
11	C3-1	0.0200007	308.37	Working	4.0	0.119669	0.09156161264705882	0.2723756122679974	0.23627808033693612	0.145304	0.1067087205882353	7.79999	0.118829	0.2723756122679974	0.109705	583.5	31.5	0.5278933607302387	0.3979332972930567	#ff9200	10.0002	0.113895	0.24260826846043382	0.0762159	584.0	33.0	0.5080069383653033	0.3837505429111751	#ff8700
12	C4-1	0.0200009	362.26	Working	3.8	0.138823	0.09232404324324323	0.2897908900372782	0.20562766672711347	0.110355	0.08508230270270273	7.79999	0.098145	0.22804759504608296	0.0918501	583.5	32.0	0.5310465104952617	0.4026255701569338	#ff9700	10.0001	0.131804	0.283136189258312	0.0889489	584.0	32.5	0.5114588116432639	0.3878761486825509	#ff8b00
13	C5-1	0.0200006	409.31	Working	4.0	0.157111	0.12359470256410256	0.346466714310526	0.26343647054173086	0.13274	0.10597585128205128	7.99994	0.15063	0.33637282211773234	0.132094	583.5	31.5	0.5323089165939665	0.4033110458118292	#ff9700	10.0001	0.153489	0.3279011536444677	0.103012	584.0	32.0	0.5138445279481543	0.390692004704711	#ff8e00
14	C5-dummy	0.0198216	213.9	Working	5.0	0.0906794	0.07347920285714286	0.1727069329655811	0.14883543946953426	0.0656581	0.05615128	9.80019	0.0820074	0.1716751666031362	0.055033	583.5	32.0	0.518879776139281	0.39460040182317196	#ff9200	-	-	-	-	-	-	-	-	-
15	D1-1	0.0198381	306.04	Working	4.0	0.139991	0.12570885	0.33137278200253484	0.2979418240445749	0.23109	0.14383769375	7.5999	0.136196	0.2963454898371844	0.122501	584.0	32.5	0.5274586253079223	0.39614960196272864	#ff9000	9.60012	0.12633	0.26287549425534956	0.0860246	584.5	33.0	0.5094138779295059	0.38269521116006516	#ff8500
16	D2-1	0.0200009	175.27	Working	4.0	0.410828	0.10617781351351349	0.3208439989623476	0.21173266607217728	0.252004	0.10210304324324325	9.39982	0.0794441	0.17459363286175744	0.0583523	584.0	32.5	0.5163253831712067	0.3928942231274885	#ff9000	-	-	-	-	-	-	-	-	-
17	D3-1	9.72676e-10	0.73	Open Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	D4-1	0.0197198	424.86	Working	4.2	0.182049	0.14417481666666665	0.41005184701502956	0.34323624128238367	0.193254	0.14617503055555556	7.80003	0.170895	0.40042748784686094	0.16128	584.0	32.5	0.5381520549519031	0.4070113815346044	#ff9900	9.80016	0.174049	0.3804974830325262	0.121974	584.0	32.5	0.520517276163462	0.39436590833092344	#ff9100
19	D5-1	0.0143428	341.46	Working	4.0	0.20133	0.14814427073170733	0.4699273382132906	0.38486659388910927	0.207231	0.1599431707317073	8.39996	0.178428	0.42115363781282406	0.157513	584.0	33.5	0.5420178279642189	0.4078994660942998	#ff9900	11.2002	0.179092	0.40072479667107996	0.112401	584.0	33.0	0.5252585612550752	0.39679732483758723	#ff9200
