Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99963E-1	-8.19011E-5	-5.11882E-1	4.53785E-1	1.94484E-1	7.39356E-1
-7.99986E-1	-4.02278E-5	-2.51424E-1	5.64829E-1	7.69493E-1	3.61623E-1
-5.99965E-1	-2.43366E-5	-1.52104E-1	1.84475E+0	1.00947E+0	5.35864E-1
-3.99951E-1	-1.37515E-5	-8.59469E-2	2.38386E+0	2.49091E+0	2.60836E-1
-2.00002E-1	-5.61671E-6	-3.51044E-2	4.52967E+1	-8.83447E-1	1.01231E+0
4.38213E-5	8.58915E-10	5.36822E-6	8.55630E+8	4.16319E+4	6.40695E-1
2.00027E-1	5.75304E-6	3.59565E-2	4.86228E+0	5.38905E+0	1.11316E-1
3.99962E-1	1.62193E-5	1.01371E-1	4.66772E+0	7.23191E-1	6.02401E-1
5.99963E-1	3.05446E-5	1.90904E-1	1.37892E+0	1.65947E+0	5.02723E-1
7.99974E-1	5.29967E-5	3.31229E-1	6.10891E-1	5.97973E-1	5.15251E-1
9.99972E-1	8.69216E-5	5.43260E-1	9.74587E-2	2.37701E-1	1.68526E-1
1.19998E+0	1.44711E-4	9.04444E-1	9.31629E-2	9.53762E-2	3.21846E-1
1.39999E+0	1.30513E-4	8.15706E-1	1.94022E-1	9.28979E-2	7.05275E-1
1.59999E+0	1.22047E-4	7.62794E-1	-5.31750E-2	-3.88878E-2	-2.06577E-1
1.79997E+0	1.40236E-4	8.76475E-1	8.28495E-2	9.27192E-2	4.16049E-1
1.99996E+0	2.18868E-4	1.36792E+0	-2.51698E-3	8.33498E-3	-2.19186E-2
2.19986E+0	5.18138E-4	3.23836E+0	1.86895E-2	2.60201E-2	4.23808E-1
2.39985E+0	5.30302E-4	3.31439E+0	3.27068E-2	5.21943E-2	8.28086E-1
2.59977E+0	7.06484E-4	4.41552E+0	8.40874E-3	3.40004E-2	3.07255E-1
2.79974E+0	1.94935E-3	1.21834E+1	2.91408E-3	9.12228E-4	3.16402E-1
2.99978E+0	2.00554E-3	1.25346E+1	7.45857E-3	1.15045E-2	8.92702E-1
