Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99958E-1	-1.66644E-7	-1.04152E-3	1.51315E+2	-7.78939E+1	5.01629E-1
-7.99995E-1	-9.69396E-8	-6.05872E-4	2.69736E+2	-3.68398E+2	4.16158E-1
-5.99950E-1	-2.37678E-8	-1.48549E-4	-4.11999E+2	-7.45294E+2	-1.16877E-1
-3.99932E-1	4.26413E-9	2.66508E-5	-3.17189E+3	-1.01751E+3	-1.07613E-1
-1.99989E-1	1.98356E-8	1.23973E-4	1.72772E+2	6.41321E+2	1.36350E-2
5.28812E-5	2.70359E-8	1.68974E-4	2.25337E+7	-5.40174E+2	6.40921E-1
2.00047E-1	3.29890E-8	2.06181E-4	3.99655E+3	-4.88618E+2	5.24707E-1
3.99994E-1	4.92780E-8	3.07987E-4	2.14449E+3	2.21457E+2	8.40930E-1
5.99983E-1	6.45585E-8	4.03491E-4	3.78942E+2	-2.12793E+2	2.92008E-1
7.99988E-1	9.48662E-8	5.92914E-4	3.07801E+2	-1.51666E+2	4.64725E-1
9.99977E-1	1.39433E-7	8.71456E-4	1.18218E+2	-1.48300E+2	3.27922E-1
1.19998E+0	2.36651E-7	1.47907E-3	7.80691E+1	1.65152E+1	4.41054E-1
1.39999E+0	3.89382E-7	2.43364E-3	4.80062E+1	-2.87304E+1	5.20629E-1
1.59999E+0	6.13905E-7	3.83691E-3	1.87713E+1	1.21442E+1	3.66811E-1
1.79997E+0	9.33910E-7	5.83694E-3	2.68784E+0	-3.41189E+1	8.98885E-2
1.99996E+0	1.37224E-6	8.57650E-3	6.60761E+0	2.87358E+0	3.60766E-1
2.19996E+0	1.98954E-6	1.24346E-2	7.14777E+0	-5.40102E+0	6.22398E-1
2.39992E+0	2.84296E-6	1.77685E-2	6.22460E+0	-3.97634E+0	8.44908E-1
2.59992E+0	4.18185E-6	2.61366E-2	2.05155E+0	3.98550E+0	4.43752E-1
2.79989E+0	6.33704E-6	3.96065E-2	2.08810E+0	9.03086E-1	7.37069E-1
2.99996E+0	1.06579E-5	6.66119E-2	1.36568E+0	-1.95783E+0	8.68695E-1
3.19990E+0	1.81475E-5	1.13422E-1	1.22248E+0	3.32343E-1	1.41230E+0
3.39979E+0	3.04372E-5	1.90232E-1	1.37823E+0	6.77302E-1	2.83733E+0
3.59978E+0	4.98927E-5	3.11829E-1	1.01074E+0	-1.98830E-1	3.61145E+0
3.79974E+0	7.92066E-5	4.95041E-1	1.08187E+0	3.29994E-1	6.47767E+0
3.99969E+0	1.22803E-4	7.67519E-1	9.75871E-1	4.40711E-1	9.53582E+0
4.19973E+0	1.81700E-4	1.13563E+0	7.94143E-1	3.73304E-1	1.20561E+1
4.39973E+0	2.57780E-4	1.61113E+0	7.51449E-1	4.60479E-1	1.69553E+1
4.59969E+0	3.63658E-4	2.27286E+0	6.70882E-1	3.62974E-1	2.23253E+1
4.80001E+0	4.79534E-4	2.99709E+0	6.45783E-1	3.33968E-1	2.95719E+1
5.00001E+0	6.26289E-4	3.91431E+0	6.03299E-1	3.39926E-1	3.75845E+1
5.19998E+0	8.01718E-4	5.01074E+0	5.78333E-1	3.65772E-1	4.79657E+1
5.39994E+0	1.01175E-3	6.32344E+0	5.48266E-1	3.25334E-1	5.95914E+1
5.59995E+0	1.25299E-3	7.83119E+0	5.05553E-1	3.39918E-1	7.05713E+1
5.79998E+0	1.53224E-3	9.57650E+0	4.85985E-1	3.33119E-1	8.59223E+1
5.99995E+0	1.84840E-3	1.15525E+1	4.59430E-1	3.33860E-1	1.01366E+2
6.19994E+0	2.17479E-3	1.35924E+1	4.41090E-1	3.30688E-1	1.18321E+2
6.39992E+0	2.54383E-3	1.58989E+1	4.18743E-1	3.26244E-1	1.35625E+2
6.59993E+0	2.95043E-3	1.84402E+1	4.04435E-1	3.30981E-1	1.56677E+2
6.79987E+0	3.40789E-3	2.12993E+1	3.82708E-1	3.24146E-1	1.76434E+2
6.99985E+0	3.87231E-3	2.42019E+1	3.70689E-1	3.35330E-1	1.99893E+2
7.19982E+0	4.38939E-3	2.74337E+1	3.54657E-1	3.31746E-1	2.22979E+2
7.39978E+0	4.96076E-3	3.10047E+1	3.40864E-1	3.29418E-1	2.48930E+2
7.59979E+0	5.57761E-3	3.48601E+1	3.26653E-1	3.23444E-1	2.75465E+2
7.79982E+0	6.23552E-3	3.89720E+1	3.15948E-1	3.25587E-1	3.05705E+2
7.99982E+0	6.95450E-3	4.34656E+1	3.02752E-1	3.24866E-1	3.35092E+2
8.19975E+0	7.73316E-3	4.83323E+1	2.92888E-1	3.25950E-1	3.69478E+2
8.39977E+0	8.56255E-3	5.35159E+1	2.81816E-1	3.21858E-1	4.03243E+2
8.59975E+0	9.45287E-3	5.90804E+1	2.73007E-1	3.23086E-1	4.41523E+2
8.79985E+0	1.04243E-2	6.51519E+1	2.63580E-1	3.20454E-1	4.81022E+2
8.99985E+0	1.14587E-2	7.16169E+1	2.52768E-1	3.17956E-1	5.18589E+2
9.19976E+0	1.25635E-2	7.85219E+1	2.44927E-1	3.15659E-1	5.63189E+2
9.39979E+0	1.37331E-2	8.58319E+1	2.35698E-1	3.12263E-1	6.05303E+2
9.60010E+0	1.49932E-2	9.37075E+1	2.28946E-1	3.10519E-1	6.55592E+2
9.80003E+0	1.63257E-2	1.02036E+2	2.21360E-1	3.09952E-1	7.04578E+2
1.00001E+1	1.77727E-2	1.11079E+2	2.12813E-1	3.05571E-1	7.52465E+2
1.02001E+1	1.92968E-2	1.20605E+2	0.00000E+0	0.00000E+0	0.00000E+0
1.02621E+1	2.00003E-2	1.25002E+2	0.00000E+0	0.00000E+0	0.00000E+0
