Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99973E-1	-1.35777E-6	-8.48606E-3	6.84176E+0	1.17074E+0	1.84805E-1
-7.99995E-1	-2.16895E-6	-1.35559E-2	-1.46643E+0	-1.26811E+1	-5.06206E-2
-5.99968E-1	-1.60116E-6	-1.00072E-2	1.68173E+1	1.10144E+0	3.21402E-1
-3.99956E-1	-5.66835E-7	-3.54272E-3	8.34974E+1	3.62757E+1	3.76593E-1
-2.00002E-1	-3.18370E-7	-1.98981E-3	1.85584E+2	7.79205E+0	2.35091E-1
4.72069E-5	9.28426E-10	5.80266E-6	1.66286E+8	2.40329E+4	1.44990E-1
2.00057E-1	9.25379E-8	5.78362E-4	-8.37881E+2	2.06456E+2	-3.08593E-1
3.99983E-1	1.86645E-7	1.16653E-3	3.13595E+2	-4.67572E+1	4.65755E-1
5.99979E-1	3.79890E-7	2.37431E-3	7.45206E+1	-6.86075E+1	3.37909E-1
7.99993E-1	6.41339E-7	4.00837E-3	-3.67036E+1	-1.30674E+1	-3.74638E-1
9.99989E-1	1.02922E-6	6.43262E-3	-1.25139E+1	1.27836E+0	-2.56227E-1
1.20000E+0	1.60773E-6	1.00483E-2	2.46364E+0	7.09308E+0	9.45588E-2
1.40001E+0	2.35314E-6	1.47071E-2	3.29823E+0	4.88083E+0	2.16167E-1
1.60001E+0	3.33304E-6	2.08315E-2	2.24864E+0	-7.29742E-1	2.38569E-1
1.79999E+0	5.06390E-6	3.16494E-2	1.09139E+0	-3.19609E+0	1.97909E-1
1.99998E+0	7.04105E-6	4.40066E-2	-1.00093E+0	1.02876E+0	-2.80412E-1
2.20004E+0	9.62487E-6	6.01554E-2	7.76170E-1	-1.60326E-1	3.26973E-1
2.39997E+0	1.35707E-5	8.48169E-2	1.47580E+0	1.82641E+0	9.56240E-1
2.60006E+0	1.81263E-5	1.13289E-1	7.84919E-1	1.74430E+0	7.35949E-1
2.79999E+0	2.48525E-5	1.55328E-1	4.73016E-1	1.42154E+0	6.54836E-1
2.99994E+0	3.67981E-5	2.29988E-1	4.44228E-1	5.82147E-1	9.75604E-1
3.19997E+0	8.47092E-5	5.29433E-1	3.11959E-1	2.43112E-1	1.68230E+0
3.39991E+0	1.07884E-4	6.74275E-1	3.77400E-1	2.12284E-1	2.75395E+0
3.59993E+0	1.46137E-4	9.13356E-1	4.15309E-1	2.51940E-1	4.34666E+0
3.79991E+0	2.02828E-4	1.26768E+0	4.91265E-1	3.01195E-1	7.53264E+0
3.99985E+0	2.61070E-4	1.63169E+0	5.27500E-1	1.86083E-1	1.09586E+1
4.19986E+0	3.80556E-4	2.37847E+0	4.86704E-1	1.73607E-1	1.54756E+1
4.39984E+0	5.21522E-4	3.25951E+0	5.02553E-1	2.43167E-1	2.29415E+1
4.59984E+0	7.07123E-4	4.41952E+0	4.82614E-1	2.74624E-1	3.12297E+1
4.80012E+0	9.33968E-4	5.83730E+0	4.66443E-1	2.71241E-1	4.16019E+1
5.00010E+0	1.19910E-3	7.49438E+0	4.58326E-1	3.01247E-1	5.46687E+1
5.20013E+0	1.51789E-3	9.48681E+0	4.35444E-1	3.08099E-1	6.83781E+1
5.40011E+0	1.88708E-3	1.17942E+1	4.16727E-1	3.09331E-1	8.44840E+1
5.60009E+0	2.28620E-3	1.42888E+1	4.02874E-1	3.10062E-1	1.02615E+2
5.80012E+0	2.73691E-3	1.71057E+1	3.85184E-1	3.15270E-1	1.21645E+2
6.00010E+0	3.23254E-3	2.02034E+1	3.68126E-1	3.07655E-1	1.42046E+2
6.20008E+0	3.77823E-3	2.36139E+1	3.52710E-1	3.04943E-1	1.64374E+2
6.40009E+0	4.36553E-3	2.72846E+1	3.38528E-1	3.13988E-1	1.88169E+2
6.60006E+0	5.02322E-3	3.13951E+1	3.23492E-1	3.09986E-1	2.13365E+2
6.80009E+0	5.70844E-3	3.56778E+1	3.13105E-1	3.10896E-1	2.41798E+2
7.00002E+0	6.47682E-3	4.04801E+1	3.00838E-1	3.12724E-1	2.71347E+2
7.20001E+0	7.32513E-3	4.57821E+1	2.89365E-1	3.12687E-1	3.03616E+2
7.40001E+0	8.22100E-3	5.13812E+1	2.78649E-1	3.14841E-1	3.37245E+2
7.60001E+0	9.20158E-3	5.75099E+1	2.67971E-1	3.14065E-1	3.72816E+2
7.80001E+0	1.02615E-2	6.41344E+1	2.60429E-1	3.16447E-1	4.14693E+2
8.00000E+0	1.13857E-2	7.11606E+1	2.50489E-1	3.13006E-1	4.53908E+2
8.19992E+0	1.25887E-2	7.86794E+1	2.41593E-1	3.16440E-1	4.96142E+2
8.39995E+0	1.38771E-2	8.67319E+1	2.33616E-1	3.14299E-1	5.41761E+2
8.59993E+0	1.52362E-2	9.52263E+1	2.26350E-1	3.14659E-1	5.90042E+2
8.79997E+0	1.66973E-2	1.04358E+2	2.18802E-1	3.14748E-1	6.39601E+2
9.00000E+0	1.82583E-2	1.14114E+2	2.11828E-1	3.13023E-1	6.92493E+2
9.19989E+0	1.99150E-2	1.24469E+2	2.04788E-1	3.08934E-1	7.46444E+2
