Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99957E-1	-2.20724E-7	-1.37953E-3	1.20031E+2	1.50068E+2	5.27052E-1
-7.99981E-1	-1.21681E-7	-7.60506E-4	3.77808E+2	1.97572E+2	7.31652E-1
-5.99963E-1	-5.83036E-8	-3.64398E-4	4.22772E+2	3.79196E+2	2.94209E-1
-3.99929E-1	2.05214E-9	1.28259E-5	4.35202E+4	1.18453E+4	7.10577E-1
-1.99978E-1	2.26830E-8	1.41769E-4	9.84942E+3	1.63148E+3	8.88840E-1
1.03164E-4	2.86350E-8	1.78969E-4	1.44976E+7	5.59305E+2	8.52026E-1
2.00093E-1	3.72399E-8	2.32749E-4	-9.23549E+1	6.65938E+2	-1.36908E-2
4.00045E-1	5.21984E-8	3.26240E-4	-5.66711E+2	3.07476E+2	-2.35428E-1
6.00039E-1	7.23115E-8	4.51947E-4	8.15937E+2	7.17903E+1	7.04326E-1
8.00022E-1	7.92214E-8	4.95134E-4	8.64179E+2	3.39810E+2	1.08963E+0
1.00003E+0	1.44349E-7	9.02181E-4	6.08346E+1	2.94095E+2	1.74706E-1
1.20004E+0	2.43339E-7	1.52087E-3	1.04753E+2	1.82603E+2	6.08560E-1
1.40004E+0	3.84454E-7	2.40284E-3	7.95240E+1	7.46146E+1	8.51556E-1
1.60004E+0	5.86024E-7	3.66265E-3	5.05931E+1	6.33958E+1	9.43774E-1
1.80003E+0	8.81299E-7	5.50812E-3	2.07627E+1	2.94396E+1	6.55265E-1
2.00002E+0	1.27926E-6	7.99537E-3	1.19700E+1	3.32480E+1	6.09279E-1
2.20039E+0	1.96548E-6	1.22843E-2	3.91525E+0	1.94320E+1	3.36866E-1
2.40035E+0	3.20010E-6	2.00006E-2	3.07796E+0	8.71633E+0	4.70362E-1
2.60035E+0	5.51660E-6	3.44788E-2	6.24415E-1	4.51997E+0	1.78200E-1
2.80022E+0	9.82390E-6	6.13994E-2	2.71656E+0	2.88699E+0	1.48671E+0
3.00011E+0	1.72474E-5	1.07796E-1	1.97731E+0	1.26637E+0	2.03547E+0
3.20027E+0	2.95748E-5	1.84843E-1	1.79449E+0	1.46582E+0	3.37893E+0
3.40025E+0	4.82296E-5	3.01435E-1	1.47280E+0	1.02971E+0	4.80505E+0
3.60025E+0	7.69419E-5	4.80887E-1	1.35874E+0	1.09307E+0	7.48794E+0
3.80022E+0	1.17798E-4	7.36237E-1	1.24227E+0	8.47831E-1	1.10635E+1
4.00021E+0	1.81832E-4	1.13645E+0	1.07993E+0	6.56965E-1	1.56271E+1
4.20022E+0	2.52447E-4	1.57779E+0	1.03098E+0	5.86990E-1	2.17481E+1
4.40013E+0	3.36632E-4	2.10395E+0	9.88292E-1	5.88709E-1	2.91230E+1
4.60014E+0	4.56480E-4	2.85300E+0	9.14748E-1	5.70570E-1	3.82141E+1
4.80049E+0	6.00035E-4	3.75022E+0	8.59693E-1	5.30665E-1	4.92647E+1
5.00046E+0	7.67007E-4	4.79379E+0	8.16270E-1	5.32392E-1	6.22835E+1
5.20049E+0	9.76906E-4	6.10566E+0	7.58374E-1	4.68787E-1	7.66497E+1
5.40043E+0	1.20800E-3	7.55000E+0	7.27909E-1	4.89596E-1	9.44718E+1
5.60046E+0	1.47213E-3	9.20081E+0	6.81749E-1	4.69513E-1	1.11821E+2
5.80055E+0	1.75697E-3	1.09811E+1	6.40337E-1	4.59116E-1	1.29829E+2
6.00050E+0	2.07320E-3	1.29575E+1	6.10346E-1	4.33344E-1	1.51055E+2
6.20052E+0	2.41596E-3	1.50998E+1	5.76033E-1	4.25553E-1	1.71670E+2
6.40048E+0	2.79672E-3	1.74795E+1	5.48004E-1	4.17622E-1	1.95153E+2
6.60045E+0	3.21447E-3	2.00904E+1	5.21879E-1	4.11155E-1	2.20284E+2
6.80043E+0	3.66424E-3	2.29015E+1	4.93934E-1	3.95826E-1	2.44861E+2
7.00036E+0	4.15363E-3	2.59602E+1	4.72061E-1	3.93562E-1	2.73072E+2
7.20035E+0	4.69024E-3	2.93140E+1	4.51359E-1	3.80235E-1	3.03250E+2
7.40039E+0	5.26638E-3	3.29149E+1	4.30813E-1	3.73593E-1	3.34030E+2
7.60037E+0	5.89511E-3	3.68444E+1	4.10337E-1	3.68173E-1	3.65761E+2
7.80035E+0	6.57447E-3	4.10904E+1	3.93013E-1	3.59067E-1	4.00970E+2
8.00034E+0	7.30822E-3	4.56764E+1	3.76337E-1	3.50829E-1	4.37751E+2
8.20031E+0	8.09602E-3	5.06001E+1	3.60104E-1	3.46693E-1	4.75620E+2
8.40028E+0	8.95147E-3	5.59467E+1	3.45004E-1	3.37557E-1	5.16111E+2
8.60028E+0	9.86194E-3	6.16371E+1	3.31106E-1	3.34008E-1	5.58692E+2
8.80034E+0	1.08762E-2	6.79763E+1	3.20086E-1	3.28060E-1	6.09499E+2
9.00038E+0	1.19869E-2	7.49181E+1	3.04266E-1	3.19613E-1	6.53058E+2
9.20025E+0	1.31166E-2	8.19788E+1	2.92769E-1	3.14959E-1	7.02871E+2
9.40031E+0	1.43252E-2	8.95325E+1	2.81601E-1	3.09372E-1	7.54409E+2
9.60059E+0	1.56463E-2	9.77894E+1	2.70619E-1	3.02957E-1	8.08721E+2
9.80060E+0	1.70256E-2	1.06410E+2	2.60416E-1	2.98387E-1	8.64475E+2
1.00006E+1	1.84993E-2	1.15621E+2	2.50216E-1	2.91962E-1	9.20930E+2
1.01889E+1	2.00021E-2	1.25013E+2	2.39873E-1	2.85947E-1	9.72555E+2
