Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99970E-1	-2.04008E-7	-1.27505E-3	-4.55918E+1	-1.63171E+2	-1.85034E-1
-7.99991E-1	-1.17788E-7	-7.36175E-4	1.35879E+2	-2.08288E+2	2.54723E-1
-5.99972E-1	-6.09769E-8	-3.81106E-4	-6.20656E+2	-2.87187E+2	-4.51728E-1
-3.99930E-1	3.26180E-9	2.03862E-5	-1.65880E+4	-9.80103E+3	-4.30493E-1
-1.99993E-1	2.06930E-8	1.29331E-4	-6.17775E+3	-1.54695E+3	-5.08626E-1
5.41925E-5	3.56760E-8	2.22975E-4	-1.51191E+7	-3.49481E+2	-5.81529E-1
2.00044E-1	4.09462E-8	2.55914E-4	-2.10645E+3	-6.37701E+2	-3.43258E-1
3.99992E-1	5.34116E-8	3.33823E-4	-4.27428E+2	-1.95287E+2	-1.81669E-1
5.99980E-1	8.05945E-8	5.03716E-4	-5.68009E+1	-9.54335E+1	-5.46421E-2
7.99968E-1	9.63494E-8	6.02184E-4	-5.27085E+1	-1.73986E+2	-8.08225E-2
9.99970E-1	1.64001E-7	1.02501E-3	1.34796E+2	2.68540E+1	4.39785E-1
1.19998E+0	2.75546E-7	1.72216E-3	5.76890E+1	-1.22953E+2	3.79482E-1
1.39998E+0	4.28088E-7	2.67555E-3	1.61627E+1	-1.95009E+1	1.92708E-1
1.59998E+0	6.64540E-7	4.15337E-3	-1.96726E+0	-4.89048E+1	-4.16128E-2
1.79997E+0	9.77527E-7	6.10954E-3	-5.49963E+0	-5.68110E+1	-1.92512E-1
1.99996E+0	1.53823E-6	9.61394E-3	-4.11498E+0	-1.02941E+1	-2.51849E-1
2.19990E+0	2.30653E-6	1.44158E-2	1.26552E+0	-1.20737E+1	1.27750E-1
2.39988E+0	4.04896E-6	2.53060E-2	-3.50245E-1	-8.79562E+0	-6.77072E-2
2.59983E+0	6.93963E-6	4.33727E-2	8.67355E-1	-1.51989E+0	3.11321E-1
2.79978E+0	1.18045E-5	7.37781E-2	1.47031E+0	-2.51116E+0	9.66740E-1
2.99981E+0	2.21580E-5	1.38488E-1	1.65977E+0	-8.37184E-2	2.19484E+0
3.19984E+0	4.00206E-5	2.50129E-1	1.66364E+0	7.97585E-1	4.23838E+0
3.39972E+0	6.79066E-5	4.24416E-1	1.49429E+0	4.22860E-1	6.86311E+0
3.59980E+0	1.11217E-4	6.95106E-1	1.42791E+0	4.08358E-1	1.13731E+1
3.79975E+0	1.73455E-4	1.08409E+0	1.28733E+0	4.73039E-1	1.68795E+1
3.99969E+0	2.59377E-4	1.62111E+0	1.17252E+0	5.71912E-1	2.41995E+1
4.19966E+0	3.67872E-4	2.29920E+0	1.13282E+0	5.09538E-1	3.48179E+1
4.39965E+0	5.16485E-4	3.22803E+0	1.05681E+0	5.45760E-1	4.77754E+1
4.59958E+0	7.00861E-4	4.38038E+0	9.84112E-1	5.26604E-1	6.31138E+1
4.79993E+0	9.34880E-4	5.84300E+0	9.24878E-1	4.90111E-1	8.25667E+1
4.99989E+0	1.20708E-3	7.54425E+0	8.78564E-1	4.83774E-1	1.05487E+2
5.19994E+0	1.51947E-3	9.49669E+0	8.11908E-1	4.70274E-1	1.27623E+2
5.39991E+0	1.86731E-3	1.16707E+1	7.61656E-1	4.66253E-1	1.52789E+2
5.59985E+0	2.25248E-3	1.40780E+1	7.18380E-1	4.55469E-1	1.80269E+2
5.79993E+0	2.68019E-3	1.67512E+1	6.75498E-1	4.42117E-1	2.08902E+2
5.99990E+0	3.14704E-3	1.96690E+1	6.40523E-1	4.33517E-1	2.40609E+2
6.19994E+0	3.65752E-3	2.28595E+1	6.06453E-1	4.27461E-1	2.73591E+2
6.39995E+0	4.21156E-3	2.63222E+1	5.76342E-1	4.17904E-1	3.09051E+2
6.59998E+0	4.82103E-3	3.01314E+1	5.46993E-1	4.13942E-1	3.46254E+2
6.79989E+0	5.48767E-3	3.42979E+1	5.19495E-1	4.04781E-1	3.85658E+2
6.99982E+0	6.20552E-3	3.87845E+1	4.94871E-1	3.99424E-1	4.27649E+2
7.19979E+0	6.99001E-3	4.36876E+1	4.71392E-1	3.90151E-1	4.71966E+2
7.39982E+0	7.83386E-3	4.89616E+1	4.49722E-1	3.79456E-1	5.18647E+2
7.59980E+0	8.74505E-3	5.46566E+1	4.29897E-1	3.73155E-1	5.68407E+2
7.79983E+0	9.72332E-3	6.07708E+1	4.10134E-1	3.65601E-1	6.18807E+2
7.99982E+0	1.07844E-2	6.74025E+1	3.93996E-1	3.62050E-1	6.76236E+2
8.19975E+0	1.18985E-2	7.43656E+1	3.76082E-1	3.54308E-1	7.29970E+2
8.39982E+0	1.30898E-2	8.18113E+1	3.59436E-1	3.46260E-1	7.86238E+2
8.59980E+0	1.43518E-2	8.96987E+1	3.44815E-1	3.42746E-1	8.46664E+2
8.79982E+0	1.56842E-2	9.80262E+1	3.30404E-1	3.35107E-1	9.07217E+2
8.99981E+0	1.71013E-2	1.06883E+2	3.16980E-1	3.28902E-1	9.70566E+2
9.19974E+0	1.85984E-2	1.16240E+2	3.04178E-1	3.22604E-1	1.03540E+3
9.37332E+0	2.00007E-2	1.25004E+2	2.92056E-1	3.14966E-1	1.08927E+3
