	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: Cl-BsubPc	State: CBP	State: TxOPhCz	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: Cl-BsubPc
0	16:37:14	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
1	16:37:15	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
2	16:37:16	0.001	-0.001	-0.002	0.360	0.055	0.240	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
3	16:37:17	-0.001	-0.001	0.000	0.760	0.147	0.840	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
4	16:37:18	0.000	-0.001	0.000	1.160	0.238	1.440	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	750
5	16:37:19	0.000	-0.001	0.000	1.560	0.330	2.040	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	754
6	16:37:20	0.000	-0.001	-0.000	1.960	0.422	2.640	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
7	16:37:21	0.000	-0.001	-0.000	2.360	0.513	3.240	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
8	16:37:22	-0.001	-0.001	-0.000	2.760	0.605	3.840	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	753
9	16:37:23	0.000	-0.001	-0.000	3.160	0.697	4.440	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	751
10	16:37:24	0.000	-0.001	-0.000	3.560	0.788	5.040	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	751
11	16:37:25	0.000	-0.001	-0.000	3.960	0.880	5.640	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	753
12	16:37:26	0.001	-0.001	-0.000	4.360	0.972	6.240	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
13	16:37:27	0.000	-0.001	-0.000	4.760	1.063	6.840	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
14	16:37:28	0.000	-0.001	-0.000	5.160	1.155	7.440	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	751
15	16:37:29	0.000	-0.002	-0.000	5.560	1.247	8.040	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	753
16	16:37:30	0.001	-0.002	-0.000	5.960	1.338	8.640	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
17	16:37:31	0.000	-0.002	-0.000	6.360	1.430	9.240	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	751
18	16:37:32	0.001	-0.002	-0.000	6.760	1.522	9.840	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
19	16:37:33	0.000	-0.001	-0.000	7.160	1.613	10.440	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	753
20	16:37:34	0.000	-0.001	-0.000	7.560	1.705	11.040	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	751
21	16:37:35	0.001	-0.001	-0.000	7.960	1.797	11.640	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	752
22	16:37:36	0.000	-0.001	-0.000	8.360	1.888	12.240	-0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	753
