	Material	FD_ct	FD_%
0	HATCN	0.09442876249779072	-0.9022277164934737
1	TAPC	-0.16846883725897838	0.7944269531479609
2	CBP	-0.26306435353367197	0.4647632068937668
3	tBuO-BsubPc	0.1037442087225335	0.8641969277520978
4	B3PYMPM	-0.239396706685811	0.5838317658566835
5	LiQ	-0.006777418786475613	-0.9370721281675339
6	Al	-0.03509587018293842	-0.9267531719760523
