	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.999965	-3.33002e-06	-0.0208126	-8.58552	3.96649	-0.568759	2.732762845583925
1	A1-1	-0.799978	-5.85869e-07	-0.00366168	-49.7055	-12.6572	-0.463461	12.657059054860065
2	A1-1	-0.599956	-4.04705e-07	-0.00252941	-74.788	-40.8408	-0.36126	14.282382057475854
3	A1-1	-0.399949	-2.34268e-07	-0.00146417	-72.8541	93.1246	-0.135801	9.274947581223492
4	A1-1	-0.199999	-9.83272e-08	-0.000614545	-2139.78	-82.1269	-0.837146	136.22208300449927
5	A1-1	6.52313e-05	1.39316e-08	8.70725e-05	2051600.0	-920.22	0.037092	42.598983605616006
6	A1-1	0.200039	9.99111e-08	0.000624444	373.915	72.6962	0.148673	23.80886036217819
7	A1-1	0.399989	2.32488e-07	0.00145305	-13.2619	19.3293	-0.0245349	-1.688510374729018
8	A1-1	0.599988	4.0365e-07	0.00252281	-78.5266	25.6877	-0.378351	-14.997205497044963
9	A1-1	0.799992	6.66166e-07	0.00416354	13.9369	13.2275	0.147762	3.5489511329301506
10	A1-1	0.999988	9.47529e-07	0.00592206	-40.7041	1.84163	-0.767282	-12.956336139789196
11	A1-1	1.2	1.38124e-06	0.00863275	-8.01032	18.1921	-0.264138	-3.0597202513683355
12	A1-1	1.40001	2.19186e-06	0.0136991	-0.980693	7.02835	-0.0598697	-0.4370338197399829
13	A1-1	1.59999	5.51194e-06	0.0344496	1.18682	2.01065	0.208227	0.6044395290511356
14	A1-1	1.79999	8.87968e-06	0.055498	0.087288	-0.93437	0.0277557	0.05001207250711738
15	A1-1	1.99998	1.24444e-05	0.0777775	-0.189967	0.74263	-0.0940606	-0.12093548905531806
16	A1-1	2.20007	1.60371e-05	0.100232	-0.377925	0.607228	-0.265276	-0.26466198419666376
17	A1-1	2.40005	1.68702e-05	0.105439	-0.342819	0.362287	-0.276144	-0.2618992972239873
18	A1-1	2.60003	1.73545e-05	0.108466	0.27032	0.673289	0.24266	0.22371987535264504
19	A1-1	2.79994	2.27916e-05	0.142448	0.245625	-0.399938	0.311836	0.21891216443895317
20	A1-1	2.9999	2.93226e-05	0.183266	0.0873409	0.212782	0.152847	0.08340172208702104
21	A1-1	3.19995	8.23603e-05	0.514752	0.302089	0.116951	1.58389	0.3076996301131419
22	A1-1	3.39986	8.47438e-05	0.529649	0.67502	0.335928	3.86915	0.7305120938583853
23	A1-1	3.59987	0.000158211	0.988819	0.51806	0.177878	5.86994	0.593631392600668
24	A1-1	3.79988	0.000229375	1.43359	0.543239	0.254847	9.4197	0.6570707105936845
25	A1-1	3.99986	0.000346069	2.16293	0.522994	0.285231	14.4024	0.6658745313070696
26	A1-1	4.19978	0.000476015	2.97509	0.520852	0.242479	20.7153	0.6962915407601115
27	A1-1	4.39974	0.000667733	4.17333	0.511465	0.284268	29.8935	0.7162984954460826
28	A1-1	4.59969	0.000888753	5.55471	0.477754	0.281472	38.8547	0.6994910625397186
29	A1-1	4.8	0.00115033	7.18956	0.455273	0.264703	50.011	0.6956058507057457
30	A1-1	5.00002	0.00145117	9.06981	0.42501	0.253571	61.3507	0.6764276208652662
31	A1-1	5.20007	0.00177651	11.1032	0.403846	0.245355	74.2202	0.6684577419122416
32	A1-1	5.40001	0.00213053	13.3158	0.383582	0.242201	87.7952	0.6593310202916836
33	A1-1	5.6	0.00252729	15.7956	0.364117	0.234405	102.521	0.6490478361062574
34	A1-1	5.80007	0.00297469	18.5918	0.344781	0.232567	118.345	0.6365440678148431
35	A1-1	6.00004	0.00345161	21.5726	0.330323	0.226683	136.096	0.6308743498697422
36	A1-1	6.20009	0.00397706	24.8566	0.313253	0.22726	153.669	0.6182221220923216
37	A1-1	6.40004	0.00455793	28.4871	0.300893	0.224898	174.619	0.6129756977719739
38	A1-1	6.60001	0.00518636	32.4148	0.285187	0.221445	194.208	0.5991337290373533
39	A1-1	6.80001	0.00586393	36.6496	0.274956	0.219465	218.118	0.5951442853400856
40	A1-1	6.99996	0.00659412	41.2133	0.261664	0.21285	240.285	0.5830278089839931
41	A1-1	7.19997	0.00737437	46.0898	0.25115	0.21028	265.289	0.5755915625583101
42	A1-1	7.39996	0.0082173	51.3581	0.239727	0.208693	290.006	0.5646743162227574
43	A1-1	7.59998	0.0091086	56.9287	0.230944	0.20512	318.054	0.5586883241668964
44	A1-1	7.80002	0.0100653	62.9081	0.221058	0.201245	345.269	0.5488466509082296
45	A1-1	7.99996	0.0110665	69.1656	0.211251	0.196105	372.072	0.5379437176862487
46	A1-1	8.19985	0.0121174	75.7338	0.203423	0.194264	402.111	0.5309531543379574
47	A1-1	8.39992	0.013224	82.65	0.194743	0.191938	430.357	0.5206981246218996
48	A1-1	8.59988	0.0143847	89.9044	0.187926	0.189526	462.497	0.5144319966542239
49	A1-1	8.79988	0.0156085	97.5531	0.180073	0.186025	492.059	0.5044011927862877
50	A1-1	8.99987	0.0168743	105.464	0.173404	0.18293	523.903	0.4967600318592127
51	A1-1	9.19977	0.0182063	113.789	0.16604	0.178978	553.275	0.48622889734508606
52	A1-1	9.39982	0.0195796	122.373	0.160244	0.1762	586.728	0.4794587041259101
53	A1-1	9.42996	0.0200009	125.006	0.157352	0.174558	590.422	0.47231492888341364
54	A2-1	-0.999957	-1.3381e-07	-0.000836312	56.4638	15.452	0.150304	-17.972240025253733
55	A2-1	-0.799981	-7.49799e-08	-0.000468624	-288.544	399.753	-0.344323	73.47532350029022
56	A2-1	-0.59993	-3.86975e-09	-2.41859e-05	933.016	-1510.28	0.0430926	-178.17240623669164
57	A2-1	-0.399921	2.17433e-08	0.000135896	-2605.59	-452.283	-0.45075	-331.6874668864426
58	A2-1	-0.199975	3.15297e-08	0.000197061	-2422.03	-166.193	-0.303812	-154.17155094107915
59	A2-1	7.7939e-05	4.22152e-08	0.000263845	643906.0	311.739	0.042148	15.974530500862247
60	A2-1	0.200063	4.13452e-08	0.000258408	-2518.08	49.185	-0.414374	-160.3564905111297
61	A2-1	0.400003	4.91975e-08	0.000307484	185.394	-3.01677	0.0725827	23.605358327587776
62	A2-1	0.599996	6.60868e-08	0.000413043	721.786	126.228	0.56938	137.8500543526945
63	A2-1	0.800003	9.86741e-08	0.000616713	-204.685	63.3882	-0.321448	-52.122786450099156
64	A2-1	0.999985	1.15844e-07	0.000724025	-89.3238	-95.066	-0.205856	-28.43216739753462
65	A2-1	1.2	1.90424e-07	0.00119015	-22.0591	27.2944	-0.100281	-8.425912700079822
66	A2-1	1.39999	2.95787e-07	0.00184867	-28.1511	-103.411	-0.231916	-12.545018851390461
67	A2-1	1.59999	4.53034e-07	0.00283146	14.5823	-44.8807	0.210283	7.426663276189669
68	A2-1	1.79997	6.82312e-07	0.00426445	-2.45705	8.16149	-0.0600334	-1.4077641899893303
69	A2-1	1.99997	9.91749e-07	0.00619843	4.67451	5.72145	0.184455	2.975834203177256
70	A2-1	2.19999	1.52593e-06	0.00953706	6.66255	8.95116	0.444965	4.665641193407612
71	A2-1	2.39991	2.67167e-06	0.0166979	1.68652	9.68032	0.215129	1.2883596140832079
72	A2-1	2.59989	4.80259e-06	0.0300162	0.085274	0.626639	0.0211825	0.07057022541161106
73	A2-1	2.79984	9.76764e-06	0.0610478	1.13412	0.142797	0.61704	1.0107489540982642
74	A2-1	2.99971	1.99344e-05	0.12459	1.11217	0.129553	1.32308	1.061947186772614
75	A2-1	3.19988	3.92942e-05	0.245589	1.06771	0.718641	2.67083	1.0875202065239078
76	A2-1	3.39981	7.33081e-05	0.458176	0.796551	0.460052	3.94957	0.8620202716859897
77	A2-1	3.59979	0.000132405	0.827531	0.744546	0.331828	7.05998	0.8531378280692807
78	A2-1	3.79982	0.000217976	1.36235	0.64854	0.261989	10.6866	0.7844239732814622
79	A2-1	3.99983	0.000344444	2.15278	0.59892	0.318801	16.4157	0.7625349548026275
80	A2-1	4.19978	0.000491758	3.07349	0.597986	0.285866	24.5697	0.7994071885706477
81	A2-1	4.39973	0.00069023	4.31394	0.542098	0.300377	32.7513	0.7591969290254386
82	A2-1	4.59963	0.000916372	5.72733	0.53208	0.285006	44.6172	0.7790226859636165
83	A2-1	4.79997	0.00117564	7.34775	0.498829	0.288644	56.0009	0.762150318124596
84	A2-1	5.00001	0.00146802	9.17513	0.47007	0.282945	68.6429	0.7481408982761008
85	A2-1	5.20002	0.001795	11.2187	0.440194	0.271694	81.7417	0.7286200718443313
86	A2-1	5.40003	0.00214395	13.3997	0.416432	0.270509	95.9147	0.7157973685978044
87	A2-1	5.60004	0.00253381	15.8363	0.396291	0.268199	111.869	0.7064086939499756
88	A2-1	5.80004	0.00295105	18.4441	0.37494	0.251235	127.673	0.6922159389723543
89	A2-1	6.00002	0.00340734	21.2959	0.359121	0.251929	146.063	0.6858738066951855
90	A2-1	6.2	0.00391008	24.438	0.339616	0.2438	163.793	0.6702389720926426
91	A2-1	6.39998	0.00445367	27.8354	0.324556	0.242159	184.042	0.6611796489362467
92	A2-1	6.59994	0.00504926	31.5579	0.308103	0.238093	204.265	0.64727057250324
