Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99964E-1	-2.11610E-6	-1.32256E-2	-4.37613E+0	-4.20678E+0	-1.84222E-1
-7.99985E-1	-1.39788E-6	-8.73675E-3	-1.58418E+1	-2.13949E+0	-3.52441E-1
-5.99968E-1	-1.45229E-6	-9.07681E-3	6.39562E+1	-7.91139E+0	1.10865E+0
-3.99956E-1	-6.11468E-7	-3.82168E-3	3.17025E+1	-3.98387E+1	1.54245E-1
-2.00008E-1	-1.89958E-7	-1.18724E-3	-4.89090E+2	-1.23797E+2	-3.69678E-1
3.98636E-5	2.21741E-10	1.38588E-6	1.04632E+9	-4.75688E+4	1.84000E-1
2.00035E-1	1.91196E-7	1.19497E-3	2.75805E+2	-2.17022E+1	2.09854E-1
3.99971E-1	3.65971E-7	2.28732E-3	-1.03817E+2	-4.34039E+1	-3.02326E-1
5.99965E-1	5.12934E-7	3.20584E-3	1.53403E+1	1.65855E+1	9.39188E-2
7.99975E-1	7.59818E-7	4.74886E-3	1.53046E+1	-3.91523E+1	1.85071E-1
9.99981E-1	1.34492E-6	8.40575E-3	9.56018E-1	-5.33844E+0	2.55791E-2
1.19999E+0	2.25127E-6	1.40704E-2	-5.67230E+0	-1.09550E+1	-3.04856E-1
1.39999E+0	3.56415E-6	2.22759E-2	1.46392E+0	-3.41038E+0	1.45321E-1
1.59999E+0	5.47276E-6	3.42047E-2	1.54495E-1	-6.71883E+0	2.69134E-2
1.79998E+0	8.30338E-6	5.18961E-2	-1.11830E+0	-2.96563E+0	-3.32515E-1
1.99997E+0	1.21547E-5	7.59669E-2	-7.61913E-1	-1.31871E+0	-3.68471E-1
2.20000E+0	1.73244E-5	1.08277E-1	4.58760E-1	-7.65132E-1	3.47854E-1
2.39994E+0	2.51019E-5	1.56887E-1	2.65680E-1	7.90048E-1	3.18417E-1
2.59991E+0	3.58062E-5	2.23789E-1	2.35278E-1	9.03281E-2	4.35740E-1
2.79988E+0	5.08044E-5	3.17528E-1	1.43995E-1	1.98871E-1	4.07491E-1
2.99979E+0	7.19962E-5	4.49976E-1	4.78091E-1	-4.38872E-2	2.05419E+0
3.19991E+0	1.05728E-4	6.60800E-1	5.20894E-1	3.60002E-1	3.50597E+0
3.39982E+0	1.59003E-4	9.93769E-1	5.05077E-1	2.57213E-1	5.43187E+0
3.59985E+0	2.32187E-4	1.45117E+0	5.36719E-1	1.82082E-1	8.92482E+0
3.79985E+0	3.32423E-4	2.07764E+0	5.10854E-1	2.69993E-1	1.28376E+1
3.99984E+0	4.46973E-4	2.79358E+0	5.52715E-1	2.41845E-1	1.96587E+1
4.19977E+0	6.16734E-4	3.85459E+0	5.38484E-1	2.50718E-1	2.77477E+1
4.39975E+0	8.06014E-4	5.03759E+0	5.45906E-1	2.24009E-1	3.85140E+1
4.59973E+0	1.06173E-3	6.63581E+0	5.25913E-1	2.80269E-1	5.10964E+1
4.80006E+0	1.37101E-3	8.56881E+0	5.11643E-1	2.78277E-1	6.69861E+1
5.00008E+0	1.74299E-3	1.08937E+1	4.84521E-1	2.75681E-1	8.40069E+1
5.20005E+0	2.18849E-3	1.36781E+1	4.60378E-1	2.67147E-1	1.04231E+2
5.40003E+0	2.69438E-3	1.68399E+1	4.31976E-1	2.61889E-1	1.25039E+2
5.60001E+0	3.23945E-3	2.02466E+1	4.10222E-1	2.60313E-1	1.48050E+2
5.80005E+0	3.82352E-3	2.38970E+1	3.92628E-1	2.53612E-1	1.73223E+2
6.00003E+0	4.44448E-3	2.77780E+1	3.75297E-1	2.55127E-1	1.99104E+2
6.20007E+0	5.11402E-3	3.19626E+1	3.58194E-1	2.50500E-1	2.25947E+2
6.40009E+0	5.81458E-3	3.63411E+1	3.42774E-1	2.46628E-1	2.53771E+2
6.60001E+0	6.53686E-3	4.08554E+1	3.29844E-1	2.43761E-1	2.83108E+2
6.79999E+0	7.34209E-3	4.58881E+1	3.15117E-1	2.42814E-1	3.12989E+2
6.99996E+0	8.19573E-3	5.12233E+1	3.01380E-1	2.37607E-1	3.43976E+2
7.19995E+0	9.10981E-3	5.69363E+1	2.88023E-1	2.35993E-1	3.75835E+2
7.39996E+0	1.00842E-2	6.30262E+1	2.75875E-1	2.30537E-1	4.09556E+2
7.59997E+0	1.10731E-2	6.92069E+1	2.64073E-1	2.26192E-1	4.42115E+2
7.79998E+0	1.21389E-2	7.58681E+1	2.53240E-1	2.25088E-1	4.77019E+2
7.99996E+0	1.32619E-2	8.28869E+1	2.43343E-1	2.22494E-1	5.13621E+2
8.19990E+0	1.44211E-2	9.01319E+1	2.33323E-1	2.18946E-1	5.48902E+2
8.39997E+0	1.56505E-2	9.78156E+1	2.24217E-1	2.15543E-1	5.86414E+2
8.59996E+0	1.69373E-2	1.05858E+2	2.15123E-1	2.10757E-1	6.23387E+2
8.80000E+0	1.82698E-2	1.14186E+2	2.07209E-1	2.07146E-1	6.62757E+2
9.00004E+0	1.96557E-2	1.22848E+2	1.98891E-1	2.04815E-1	6.99969E+2
