	Timestamp	Filtered Rate: CBP	Filtered Rate: OcO-BsubPc	Source Power: CBP	Source Power: OcO-BsubPc	Thickness: CBP	Thickness: OcO-BsubPc	State: CBP	State: OcO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: OcO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: OcO-BsubPc
37	14:05:07	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
38	14:05:08	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
39	14:05:09	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
40	14:05:10	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
41	14:05:11	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
42	14:05:12	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
43	14:05:13	0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
44	14:05:14	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
45	14:05:15	-0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
46	14:05:16	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
47	14:05:17	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
48	14:05:18	-0.001	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
49	14:05:19	-0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
50	14:05:20	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
51	14:05:21	0.000	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
52	14:05:22	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
53	14:05:23	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
54	14:05:24	-0.001	-0.003	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
