	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200005	393.51	Working	3.6	0.15107	0.12880383846153845	0.3294771044066206	0.300956875584432	0.20271	0.1597965	5.79994	0.134467	0.32732557190209494	0.177299	577.5	29.0	0.5079894554770813	0.4223096927164694	#ffc000	7.39985	0.14816	0.3254737724606336	0.138179	577.5	29.5	0.4848110012968304	0.4017250286093499	#ffb203
1	A2-1	0.0200004	8.12	Short Circuit	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	A3-1	0.0200005	380.24	Working	3.6	0.13997	0.1104606925925926	0.3236257607645205	0.2698791017876986	0.171041	0.13890636296296296	5.99988	0.108495	0.27087956168147315	0.141836	577.5	28.0	0.507845384678019	0.42797317160875004	#ffc900	7.7998	0.131974	0.3011109880781014	0.121281	577.5	30.0	0.4880924168965517	0.4073638946893794	#ffb800
3	A4-1	0.0200007	443.44	Working	3.6	0.165719	0.14161446206896552	0.4107967907404972	0.37114857834380116	0.262266	0.19292106896551725	5.99998	0.15696	0.409844861070179	0.214595	577.5	29.5	0.5121008360795675	0.4307007505026618	#ffca00	7.59996	0.163994	0.38169128104146155	0.157779	577.5	29.5	0.49015777922158554	0.41143024319158883	#ffbd00
4	A5-1	0.0196398	356.53	Working	3.6	0.148154	0.12697316206896553	0.33952245802281505	0.3156282591591663	0.251329	0.16637683103448273	6.40007	0.139316	0.3364022842639594	0.16513	577.5	28.5	0.5032430787973894	0.42777366657003035	#ffcd00	8.19987	0.13332	0.30635765631766687	0.117374	577.5	29.5	0.484204830589769	0.4068499574010058	#ffbb01
5	B1-1	0.020001	392.09	Working	3.6	0.143365	0.124558357375	0.35964893325243724	0.3268158988508148	0.237684	0.18230899999999997	5.80003	0.140819	0.3507455655494699	0.189981	577.5	28.5	0.5134705081253624	0.4280703865258524	#ffc500	7.19997	0.1414	0.3285390465889608	0.143353	577.5	29.5	0.4954878063158268	0.4120051691570724	#ffba00
6	B2-1	0.0200008	429.78	Working	3.6	0.154335	0.14080364399999998	0.4012273222862868	0.3652475527201857	0.272572	0.20209871999999998	5.79996	0.147703	0.3906514836004898	0.2116	577.5	28.5	0.5153617163141957	0.4309915237252988	#ffc800	7.19976	0.152813	0.3618936702324169	0.157911	577.5	29.5	0.4974395862937712	0.4150947206172006	#ffbd00
7	B3-1	0.0200009	424.64	Working	3.6	0.151607	0.12906883846153844	0.36069530979693754	0.32032145910588355	0.212145	0.16887246153846155	5.99988	0.142155	0.35829039010000363	0.187604	577.5	29.0	0.5153839323243251	0.4316226057126094	#ffc800	7.39995	0.151432	0.35288441073786825	0.149814	577.5	30.0	0.4973665042858479	0.41615700606001343	#ffbf00
8	B4-1	0.0200007	489.44	Working	3.6	0.176829	0.14769564037037036	0.45723149568216676	0.41709282003389303	0.29944	0.22435455555555558	5.79989	0.167282	0.4530123410701961	0.245381	577.5	29.0	0.5202902553900569	0.43513631215485554	#ffca00	7.19983	0.172462	0.423350951899657	0.184726	577.5	29.5	0.49980033155196885	0.42020317534674195	#ffc400
9	B5-1	0.0200011	400.73	Working	3.6	0.282494	0.16098925000000003	0.40189654116532203	0.36276054066423347	0.311554	0.19589182142857142	6.20006	0.150411	0.37853105264126974	0.191803	577.5	29.0	0.5139759886745635	0.4337120199656146	#ffcd00	7.79992	0.145445	0.34489734198057737	0.138915	577.5	30.0	0.49435983960572316	0.41536085824693086	#ffc000
